Term,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time,Hawaiian/Pacific Isl,Multiracial,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian
fa11,Professional ,1123,465,657,1,787,73,54,82,3,24,78,722,401,13,1110,1.0,21.0,61.0,9.0,,
sp11,Undergraduate ,29838,16100,13716,22,18027,3882,1665,2050,39,3332,250,24743,5095,759,29079,44.0,549.0,1834.0,183.0,,
sp11,Graduate ,9292,5098,4192,2,4192,601,340,330,9,3580,122,3049,6243,551,8741,3.0,115.0,390.0,60.0,,
sp11,Professional ,1109,464,643,2,833,76,42,67,4,25,40,744,365,6,1103,1.0,21.0,48.0,9.0,,
su11,Undergraduate ,4537,2563,1969,5,2277,623,441,310,5,747,46,3391,1146,1952,2585,3.0,85.0,474.0,31.0,,
su11,Graduate ,4516,2452,2060,4,1986,256,165,178,8,1791,64,1440,3076,1411,3105,1.0,67.0,198.0,34.0,,
su11,Professional ,205,74,131,0,151,11,8,11,2,10,6,132,73,75,130,0.0,6.0,10.0,4.0,,
fa12,Undergraduate ,31901,17702,14189,10,17826,4554,1741,2381,30,4447,166,25051,6850,783,31118,57.0,699.0,1977.0,220.0,,
fa12,Graduate ,9881,5439,4441,1,4109,636,359,364,15,4169,83,3005,6876,548,9333,4.0,142.0,423.0,81.0,,
fa12,Professional ,1101,446,653,2,742,65,60,86,2,32,93,730,371,2,1099,0.0,21.0,68.0,9.0,,
sp12,Undergraduate ,30447,16577,13857,13,17786,4134,1663,2123,34,3885,163,24523,5924,925,29522,53.0,606.0,1868.0,185.0,,
sp12,Graduate ,9102,4976,4123,3,3891,595,349,350,17,3674,85,2878,6224,564,8538,4.0,137.0,400.0,75.0,,
sp12,Professional ,1115,461,653,1,786,74,53,82,3,22,73,723,392,14,1101,1.0,21.0,61.0,8.0,,
su12,Undergraduate ,5459,2995,2461,3,2700,752,490,381,11,983,28,4015,1444,2532,2927,6.0,108.0,539.0,42.0,,
su12,Graduate ,4285,2330,1955,0,1818,268,181,183,9,1711,45,1343,2942,1507,2778,2.0,68.0,208.0,34.0,,
su12,Professional ,266,95,170,1,175,14,21,30,1,10,10,169,97,139,127,0.0,5.0,24.0,2.0,,
fa13,Undergraduate ,32294,18181,14106,7,17010,4833,1764,2643,18,4990,182,24644,7650,778,31516,48.0,806.0,2070.0,239.0,,
fa13,Graduate ,10080,5488,4589,3,4021,673,358,403,16,4378,89,2968,7112,552,9528,6.0,136.0,431.0,80.0,,
fa13,Professional ,1024,384,639,1,657,67,50,73,1,39,121,701,323,2,1022,1.0,15.0,58.0,11.0,,
sp13,Undergraduate ,30459,16863,13590,6,17146,4338,1634,2271,25,4167,146,24044,6415,1091,29368,48.0,684.0,1870.0,207.0,,
sp13,Graduate ,9409,5193,4214,2,3905,607,339,359,14,3962,80,2881,6528,571,8838,3.0,140.0,401.0,76.0,,
sp13,Professional ,1096,443,651,2,749,64,60,84,2,30,87,734,362,2,1094,0.0,20.0,67.0,9.0,,
